Iteration  | Chains    | Samples
0          | 500388    | 500388
1          | 325201    | 500388
2          | 211233    | 659526
3          | 100248    | 794019
4          | 66084     | 842367
5          | 35072     | 880951
6          | 23808     | 897560
7          | 13728     | 910721
8          | 9697      | 917219
9          | 6025      | 922293
10         | 4400      | 925065
11         | 3041      | 927118
12         | 2272      | 928520
13         | 1646      | 929500
14         | 1324      | 930175
15         | 1021      | 930692
16         | 836       | 931103
17         | 663       | 931455
18         | 543       | 931718
19         | 449       | 931922
20         | 369       | 932102
